country,count,paper_ids
Albania,8,"{2782606406,2796387840,2802094627,2897448617,2947921306,2950097718,2974427071,2988157160}"
Algeria,3,"{2545973738,2945829917,2965480178}"
Antigua and Barbuda,5,"{2743525474,2944471519,2947658197,2970154349,2982527546}"
Argentina,176,"{2175504778,2179614454,2179850454,2237213109,2268802844,2295200046,2333033422,2342698646,2344906993,2347775686,2398736060,2514636007,2527357357,2558933107,2563204805,2563748431,2566721717,2579971613,2583779153,2596580464,2607171236,2607332872,2610665241,2610743941,2612812412,2614187998,2617012187,2624800873,2735913679,2737004474,2753264728,2754901504,2756743891,2765594713,2768316631,2775742527,2783874399,2786632051,2786737734,2787030188,2788254509,2788534469,2789485130,2791854683,2796145137,2798193207,2799607375,2799799788,2804440451,2807531412,2808973516,2883385573,2884122059,2884876349,2885072274,2886200594,2886411561,2888604807,2889120744,2889343749,2890760368,2894274457,2894750189,2895535642,2897987681,2898907226,2899081916,2899093663,2899714928,2900053039,2900859751,2901678597,2903260212,2903601227,2904269978,2905522931,2906717605,2906895144,2907079663,2908589789,2908779201,2909021686,2912060513,2914175150,2914415410,2914993770,2915427220,2915584157,2917854586,2917862094,2918705725,2919769481,2920924812,2923024191,2923869940,2924400973,2924890706,2926616914,2929357768,2939261586,2940968906,2942998614,2943134646,2944413471,2944670683,2944847502,2945138022,2945385357,2945527494,2946172447,2947070428,2948272467,2949418966,2949755433,2949846813,2950167250,2950638081,2950827324,2951464846,2951695536,2952765787,2952782203,2952971342,2953242300,2953348205,2954437576,2954730292,2962763502,2963713544,2964028267,2964786502,2965336277,2965863795,2966298696,2969235184,2969706169,2971420820,2972074097,2972744805,2972781186,2972846231,2973213176,2974693185,2975602955,2977309312,2977700111,2977966876,2978450941,2978772586,2979148661,2981221332,2981397872,2981708449,2982693564,2982843823,2984333281,2985785419,2985854312,2986677668,2986871069,2987924033,2990330621,2990561922,2990645562,2991205546,2993294120,2994698054,2995093390,2995893637,2997507733,2998179152,2999229342,2999705549,3000078812,3000264533,3000733309}"
Armenia,5,"{2444465672,2522766005,2566316741,2808216472,2910904269}"
